epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,94882.3,0.83487,0.59386,1.02147,0.7437,0.70345,0.7364,0.46197,1.41405,1.18891,1.40966,0.0009704,0.0009704,0.0009704
158,95192.1,0.86984,0.59357,1.04163,0.77936,0.68506,0.73327,0.46634,1.38455,1.20239,1.37772,0.0009638,0.0009638,0.0009638
159,95484.4,0.82976,0.55813,1.00047,0.76079,0.71317,0.74739,0.46977,1.41641,1.17677,1.41117,0.0009572,0.0009572,0.0009572
160,95779.3,0.83372,0.56147,1.00598,0.76377,0.64663,0.72111,0.45698,1.40259,1.16887,1.38298,0.0009506,0.0009506,0.0009506
161,96065.1,0.79739,0.53294,0.99886,0.77936,0.66061,0.71938,0.46015,1.37109,1.14939,1.40799,0.000944,0.000944,0.000944
162,96360.4,0.84768,0.56079,1.02624,0.80419,0.64545,0.73224,0.46475,1.3849,1.16521,1.40236,0.0009374,0.0009374,0.0009374
163,96670.3,0.8244,0.55524,1.01445,0.79161,0.67273,0.7403,0.45962,1.427,1.13577,1.42381,0.0009308,0.0009308,0.0009308
164,96987.9,0.8054,0.53213,0.98443,0.82198,0.65762,0.73673,0.46846,1.3578,1.19579,1.35992,0.0009242,0.0009242,0.0009242
165,97343.9,0.90356,0.58163,1.07403,0.82423,0.63945,0.73465,0.45326,1.39075,1.15083,1.40879,0.0009176,0.0009176,0.0009176
166,97694,0.82035,0.54871,1.01055,0.75854,0.67591,0.72383,0.45609,1.38396,1.19905,1.41474,0.000911,0.000911,0.000911
167,100297,0.8128,0.54009,1.01411,0.83285,0.63415,0.73416,0.46668,1.39168,1.20993,1.39945,0.0009044,0.0009044,0.0009044
168,100557,0.80389,0.52402,0.99602,0.81975,0.64848,0.73921,0.4707,1.38047,1.1952,1.38579,0.0008978,0.0008978,0.0008978
169,100825,0.82362,0.54222,0.99812,0.82093,0.65293,0.74375,0.4772,1.40096,1.24232,1.40994,0.0008912,0.0008912,0.0008912
170,101104,0.78774,0.52217,0.98765,0.80843,0.62727,0.7191,0.45214,1.40702,1.25953,1.39265,0.0008846,0.0008846,0.0008846
171,101398,0.78208,0.52079,0.97768,0.86289,0.62934,0.74165,0.462,1.39689,1.2729,1.38392,0.000878,0.000878,0.000878
172,101693,0.79285,0.52828,1.00047,0.79385,0.63013,0.71415,0.45419,1.37548,1.30291,1.36083,0.0008714,0.0008714,0.0008714
173,101969,0.81041,0.53478,0.99812,0.77396,0.61515,0.70316,0.44993,1.36246,1.24571,1.37711,0.0008648,0.0008648,0.0008648
174,102225,0.83827,0.536,0.99671,0.74148,0.63447,0.70887,0.44444,1.39653,1.19225,1.42156,0.0008582,0.0008582,0.0008582
175,102483,0.81625,0.55394,1.02138,0.76286,0.67576,0.73127,0.47476,1.34388,1.2517,1.36484,0.0008516,0.0008516,0.0008516
176,102762,0.80294,0.53971,0.99848,0.80812,0.65089,0.7359,0.46817,1.35272,1.17578,1.39617,0.000845,0.000845,0.000845
177,103058,0.79523,0.53476,0.99378,0.77191,0.66061,0.72529,0.46954,1.39235,1.18923,1.43116,0.0008384,0.0008384,0.0008384
178,103351,0.79492,0.53202,0.98489,0.78537,0.65423,0.73381,0.45737,1.41668,1.23636,1.43047,0.0008318,0.0008318,0.0008318
179,103647,0.80077,0.52781,0.99254,0.79363,0.67589,0.74142,0.46084,1.38653,1.2151,1.40718,0.0008252,0.0008252,0.0008252
